 #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC,Contributor
83,Give and Take,Poor Man's Poison,95,9B,60,2025-07-06,03:17,62,southern gothic,,In the End,2021-08-27,67,64,0,82,0,20,-8,G,4,4pZos1A9cAsvHx5kj1O38W,Poor Man's Poison,TCAFS2128196,Gabe
84,Na Na Na (Na Na Na Na Na Na Na Na Na),My Chemical Romance,166,1A,99,2025-07-06,03:25,70,"emo, pop punk","Rock, Pop",Danger Days: The True Lives of the Fabulous Killjoys,2010-11-19,41,0,0,65,0,30,-3,G#/A♭ minor,4,5BB0Jzw60KyfSTyjJqtely,Reprise,USRE11000909,Gabe
85,How It’s Done,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",160,10B,86,2025-07-06,02:56,89,k-pop,Pop,KPop Demon Hunters (Soundtrack from the Netflix Film),2025-06-20,60,1,0,61,10,30,-3,D,4,3RXUgPNIbUgFxsDWuBQEt6,K-Pop Demon Hunters,QZ8BZ2513508,Theresa
86,4X4,Travis Scott,143,11A,85,2025-07-06,03:10,73,rap,Hip Hop,4X4,2025-01-24,63,4,0,22,0,70,-3,F#/G♭ minor,4,6s8WSX1MxNThrot8ThI6fG,Cactus Jack / Epic,USSM12410202,Theresa
87,untitled 08 | 09.06.2014.,Kendrick Lamar,120,10A,52,2025-07-06,03:55,66,"hip hop, west coast hip hop",Hip Hop,untitled unmastered.,2016-03-04,85,25,0,69,20,10,-9,B minor,4,5bBUDJUfGcG7eFy3Bf4fXv,Aftermath,USUM71601679,Theresa
88,I Love You Like An Alcoholic,The Taxpayers,108,9A,42,2025-07-07,03:35,0,"folk punk, anti-folk","Folk, Rock"," God, Forgive These Bastards  Songs From The Forgotten Life of Henry Turner",2012-06-19,61,38,0,21,0,10,-6,E minor,4,7u63zva845rv8tRFi9FG8a,Asian Man Records,US4ZV1200087,Puffy
89,Cat's in the Cradle,Harry Chapin,78,6B,58,2025-07-07,03:42,67,singer-songwriter,Folk,Verities & Balderdash,1974-00-00,49,23,0,51,0,10,-10,A#/B♭,4,2obblQ6tcePeOEVJV6nEGD,Rhino/Elektra,USEE10180356,Puffy
90,Probably Up,Lawrence,95,6B,61,2025-07-10,04:14,29,"pop soul, retro soul, christmas","Pop, R&B",Living Room,2018-09-14,74,34,0,70,0,30,-6,A#/B♭,4,13HalBseZHAT19C6jWs1Ma,Same Wavelength LLC,QM24S1832373,TJ
91,Fall Into Place,Couch,140,4B,45,2025-07-10,04:27,50,"pop soul, jazz pop, funk pop, retro pop","Pop, R&B, Jazz",Fall Into Place,2020-04-17,72,29,0,69,0,0,-6,G#/A♭,4,1KM8IlK6OutsP0dBVFgtP2,Couch Productions LLC,QZDA62016580,TJ
92,Shine On You Crazy Diamond (Pts. 1-5),Pink Floyd,138,6A,29,2025-07-25,13:32,72,"progressive rock, psychedelic rock, classic rock, art rock, rock",Rock,Wish You Were Here,1975-09-12,26,77,69,4,0,10,-12,G minor,3,6pnwfWyaWjQiHCKTiZLItr,Pink Floyd Records,GBN9Y1100085,Sam
